N359;Actes d’état civil;
N31784;Livret de famille;
N31778;Changement d’état civil;
N358;Carte d’identité;
N360;Passeport;
N151;Nom et prénom;
N365;Certificat, copie, légalisation et conservation de documents;
N30;Anciens combattants;
N47;Élections;
N23501;Médailles et décorations officielles;
N24;Recensement, JDC et service national;
N13271;Volontariats;
N559;Obligations de l’administration;
N20312;Recours administratif, défenseur des droits, ...;
N560;Agir en justice contre l’administration;
N31725;Mesures contraignantes de l’administration;
N31786;Fichiers de police judiciaire;
N31727;Protection de l’image;
N20053;Protection des données personnelles;
N31801;Tech;
N111;Nationalité française;
N110;Titres, carte de séjour et documents de circulation pour étranger en France;
N367;Carte grise (certificat d’immatriculation);
N530;Permis de conduire;
N143;Union libre;
N144;Pacte civil de solidarité (Pacs);
N142;Mariage;
N159;Divorce, séparation de corps;
N133;Adoption;
N15660;Naissance;
N135;Autorité parentale;
N156;Allocations destinées aux familles;
N137;Garde d’enfants en bas âge;
N546;Centre de loisirs, colonies de vacances, garderie...;
N18775;Séparation des parents;
N136;Placement d’un enfant;
N23493;Obligation scolaire;
N54;École primaire (maternelle et élémentaire);
N56;Collège et lycée;
N67;Aides financières pour la scolarité;
N57;École et handicap;
N10481;Diplômes;
N175;Parcours éducatifs alternatifs;
N31347;Scolarité en France d’un enfant arrivant de l’étranger;
N23767;Scolarité à l’étranger d’un enfant français;
N58;Inscription;
N20398;Aides et bourses;
N23482;Formations et diplômes;
N31346;Étudiant étranger en France;
N13511;Étudier à l’étranger;
N155;Protection juridique (tutelle, curatelle...);
N42;Disparition et enlèvement;
N165;Déclaration de décès, obsèques et sépulture;
N31163;Rentes et capitaux versés en cas de décès;
N378;Pension de réversion;
N31650;Don du corps - Prélèvement d’organes;
N173;Héritage : ordre et droits des héritiers;
N31162;Donation;
N16265;Testament;
N171;Règlement d’une succession;
N19775;Revenu de solidarité active (RSA);
N31477;Prime d’activité;
N392;Allocations et aides aux personnes âgées;
N549;Démarches auprès de Pôle emploi;
N178;Allocation chômage d’aide au retour à l’emploi (ARE);
N31131;Aides à la formation;
N31132;Aides à la création ou la reprise d’entreprise;
N31133;Aides à la reprise d’activité;
N31750;Affiliation;
N418;Remboursement;
N20286;Mutuelle - Complémentaire santé;
N31348;Assurance maladie d’un Étranger en France;
N423;Assurance maladie et santé d’un Français à l’étranger;
N561;Litiges avec la Sécurité sociale;
N17179;Information du patient : dossier médical, montant des prestations, ...;
N10253;Préjudice médical;
N441;Don du sang - Don d’organe d’une personne vivante;
N437;Addictions;
N435;Contraception - IVG;
N439;Grossesse, assistance à la procréation;
N432;Hospitalisation et soins à domicile;
N434;Prévention - Vaccinations;
N31526;Santé de l’enfant;
N12230;Allocations et aides (AAH, AEEH, PCH...);
N332;Hébergement;
N31700;Invalidité;
N17160;Hébergement social;
N333;Hébergement des personnes âgées;
N57;École et handicap;
N451;Handicap et emploi dans le secteur privé;
N449;Dans le secteur privé;
N500;Dans la fonction publique;
N474;Dans le secteur privé;
N511;Dans la fonction publique;
N19871;Contrats de travail dans le secteur privé;
N443;Contrats d’insertion;
N11240;Alternance;
N505;Carrière dans la fonction publique;
N31057;Mobilité dans la fonction publique;
N510;Dans le secteur privé;
N19978;Dans la fonction publique;
N177;Formation des salariés du secteur privé;
N186;Formation des agents de la fonction publique;
N198;Formation des personnes handicapées;
N451;Handicap et emploi (secteur privé);
N492;Conditions de travail (secteur privé);
N526;Arrêt de travail (secteur privé);
N431;Conditions de travail (fonction publique);
N512;Arrêt de travail (fonction publique);
N518;Représentation du personnel dans l’entreprise;
N470;Conflits du travail dans le secteur privé;
N503;Représentants du personnel dans la fonction publique;
N102;Conflits du travail dans la fonction publique;
N458;Dans le secteur privé;
N20276;Dans la fonction publique;
N19611;Rupture du contrat de travail dans le secteur privé;
N481;Licenciement économique;
N480;Licenciement pour motif personnel (secteur privé);
N515;Quitter la fonction publique;
N19602;Aide à domicile (services à la personne);
N20383;Assistante maternelle;
N499;Salarié au pair, jeune au pair et stagiaire aide familial étranger;
N381;Retraite des salariés du secteur privé;
N379;Retraite d’un agent de la fonction publique (titulaire et non titulaire);
N120;Vivre à l’étranger;
N549;Chômage : démarches auprès de Pôle emploi;
N312;Achat d’un terrain;
N23245;Achat ou vente d’un logement;
N20360;Allocations logement;
N20359;Aide pour le dépôt de garantie ou la caution d’un logement en location;
N23557;Aides au paiement des factures : eau, téléphone, électricité, gaz;
N321;Aides et prêts pour l’amélioration et la rénovation énergétique de l’habitat;
N292;Devenir locataire d’un logement privé;
N31802;Accéder à un logement social (HLM);
N349;Contrat de location (bail);
N337;Loyer;
N31059;Obligations du bailleur;
N19424;Obligations du locataire;
N339;Fin du bail;
N326;Expropriation;
N21886;Droit de préemption urbain (DPU);
N20356;Risques sanitaires et sécurité du logement;
N20591;Diagnostic immobilier;
N319;Autorisations d’urbanisme;
N31344;Travaux;
N31338;Acteurs;
N31339;Documents;
N31340;Charges;
N31341;Assemblée générale des copropriétaires;
N357;Copropriété en difficulté;
N31064;Vie pratique dans son appartement;
N31030;Vie pratique dans sa maison;
N356;Nuisances de voisinage;
N31125;Déchets;
N44;Assurance habitation;
N333;Hébergement des personnes âgées;
N332;Hébergement d’une personne en situation de handicap;
N17160;Hébergement social;
N367;Carte grise;
N530;Permis de conduire;
N18918;Infractions routières;
N31200;Contrôle technique;
N18131;Mesures antipollution;
N19126;Conduire en France avec un permis étranger;
N31345;Conduire à l’étranger;
N84;Voyage en avion;
N20444;Cartes de transport;
N32;Assurance véhicule;
N44;Assurance habitation;
N32;Assurance auto;
N98;Comptes bancaires;
N31675;Opérations bancaires (virement, prélèvement, mandat...);
N85;Fichiers bancaires;
N91;Moyens de paiements (carte, chèque ou espèces);
N24033;Information et protection du consommateur;
N10515;Achat à distance;
N24036;Prestations de service;
N31164;Garanties;
N20278;Communications électroniques (téléphone, internet, télévision);
N24253;Véhicule;
N33;Alimentation, restauration;
N96;Crédit à la consommation;
N20373;Crédit immobilier;
N99;Surendettement;
N20376;Livrets, plans et comptes d’épargne;
N20380;Investissements en bourse;
N89;Assurance vie;
N517;Épargne salariale;
N247;Impôt sur le revenu : déclaration et revenus à déclarer;
N19785;Impôt sur le revenu : déductions, réductions et crédits d’impôt;
N219;Impôt sur le revenu : calcul et paiement;
N206;Impôts locaux;
N20074;Impôt sur la fortune immobilière (IFI);
N31160;Droits de succession et de donation;
N31080;Saisir l’administration fiscale (difficultés de paiement, réclamation, ...);
N17580;Contributions sociales (CSG, CRDS);
N230;Douane;
N119;Impôt des résidents à l’étranger;
N31163;Rentes et capitaux versés en cas de décès;
N23245;Achat ou vente d’un logement;
N312;Achat d’un terrain;
N474;Rémunération dans le secteur privé;
N511;Rémunération dans la fonction publique;
N261;Accès au droit et à la justice;
N279;Acteurs de la justice;
N253;Juridictions;
N269;Affaires civiles;
N263;Affaire pénale;
N259;Contestation d’un jugement;
N31603;[Test] Arnaque sur internet;
N19681;Violence - Atteinte à l’intégrité;
N286;Discrimination;
N31146;Harcèlement;
N283;Vol - Vandalisme - Escroquerie;
N31126;Injure - Diffamation - Incitation à la haine;
N31138;Infractions liées aux nouvelles technologies;
N275;Condamnations et peines;
N276;Prison;
N19679;Indemnisation du préjudice;
N277;Saisies et recouvrements;
N260;Mineur victime;
N23248;Mineur auteur d’infraction;
N42;Disparition et enlèvement de personnes;
N159;Divorce, séparation de corps;
N470;Conflits du travail dans le secteur privé;
N102;Conflits du travail dans la fonction publique;
N560;Agir en justice contre l’administration;
N561;Litiges avec la Sécurité sociale;
N105;Entrée en France;
N11165;Regroupement familial;
N106;Demande d’asile (réfugié, protection subsidiaire, apatride);
N107;Travail en France;
N110;Titre de séjour et document de circulation;
N111;Nationalité française;
N109;Éloignement (expulsion, OQTF...);
N31336;Voyager à l’étranger;
N120;Vivre à l’étranger;
N553;Chasse;
N554;Pêche;
N287;Armes;
N18944;Animaux;
N17914;Musées;
N31776;Multimédia;
N184;Sport;
N19104;Hébergement touristique;
N550;Permis bateau et navigation de plaisance;
N31343;Aides aux vacances;
N20278;Communications électroniques (téléphone, internet, télévision);
N546;Accueil de loisirs (centre de loisirs, colonie de vacances...);
